year,country,dairy_produce,aquatic_produce,fruit_produce,meat_produce,vegetable_produce,all_trade,GDP,avg_GDP,vacc_rate,freight,inflation,Country Code,death_rate,FTA,Asia,Africa,North_America,South_America,Europe,Oceania
2018,Bulgaria,35746.556,419896.615,0.0,1146433.518,0.0,1602076.6889999998,66370132238.3914,9447.65589681469,0.0,21.46966454517662,2.81454473824829,BGR,0.0,0,0,0,0,0,1,0
2018,Cambodia,2885479.774,0.0,1213825.907,2615317.769,0.0,6714623.449999999,24571753583.3935,1533.31598466079,0.0,13.106423880439166,2.45908515380146,KHM,0.0,0,1,0,0,0,0,0
2018,Cambodia,2885479.774,0.0,1213825.907,2615317.769,0.0,6714623.449999999,24571753583.3935,1533.31598466079,0.0,13.106423880439166,2.45908515380146,KHM,0.0,0,1,0,0,0,0,0
2018,Canada,43023419.346,11550898.697,24440477.786,154656295.566,491673.826,234162765.22100002,1725329192783.02,46539.1761570405,0.0,13.406791983435246,2.26822567248103,CAN,0.0,1,0,0,1,0,0,0
2018,Canada,43023419.346,11550898.697,24440477.786,154656295.566,491673.826,234162765.22100002,1725329192783.02,46539.1761570405,0.0,13.406791983435246,2.26822567248103,CAN,0.0,1,0,0,1,0,0,0
2018,China,3057254842.348,402917872.391,419727835.906,1381350480.619,16413532.074,5277664563.338,13894907857880.6,9905.40638304527,0.0,18.249378001748806,2.07479039965576,CHN,0.0,1,1,0,0,0,0,0
2018,China,3057254842.348,402917872.391,419727835.906,1381350480.619,16413532.074,5277664563.338,13894907857880.6,9905.40638304527,0.0,18.249378001748806,2.07479039965576,CHN,0.0,1,1,0,0,0,0,0
2018,Comoros,157394.883,120363.646,0.0,0.0,0.0,277758.529,1188797449.38584,1531.33781011763,0.0,6.060777214533719,2.4503624385017,COM,0.0,0,0,1,0,0,0,0
2018,Comoros,157394.883,120363.646,0.0,0.0,0.0,277758.529,1188797449.38584,1531.33781011763,0.0,6.060777214533719,2.4503624385017,COM,0.0,0,0,1,0,0,0,0
2018,Cuba,19035966.864,0.0,0.0,0.0,0.0,19035966.864,100050036096.123,8831.91040872027,0.0,21.337823069035505,2.4503624385017,CUB,0.0,0,0,0,1,0,0,0
