,dairy_produce,dairy_produce,dairy_produce,dairy_produce,dairy_produce,dairy_produce,aquatic_produce,aquatic_produce,aquatic_produce,aquatic_produce,aquatic_produce,aquatic_produce,fruit_produce,fruit_produce,fruit_produce,fruit_produce,fruit_produce,fruit_produce,meat_produce,meat_produce,meat_produce,meat_produce,meat_produce,meat_produce,vegetable_produce,vegetable_produce,vegetable_produce,vegetable_produce,vegetable_produce,vegetable_produce,all_trade,all_trade,all_trade,all_trade,all_trade,all_trade,GDP,GDP,GDP,GDP,GDP,GDP,avg_GDP,avg_GDP,avg_GDP,avg_GDP,avg_GDP,avg_GDP,vacc_rate,vacc_rate,vacc_rate,vacc_rate,vacc_rate,vacc_rate,freight,freight,freight,freight,freight,freight,inflation,inflation,inflation,inflation,inflation,inflation,death_rate,death_rate,death_rate,death_rate,death_rate,death_rate,Asia,Asia,Asia,Asia,Asia,Asia,Africa,Africa,Africa,Africa,Africa,Africa,North_America,North_America,North_America,North_America,North_America,North_America,South_America,South_America,South_America,South_America,South_America,South_America,Europe,Europe,Europe,Europe,Europe,Europe,Oceania,Oceania,Oceania,Oceania,Oceania,Oceania
,sum,mean,median,std,min,max,sum,mean,median,std,min,max,sum,mean,median,std,min,max,sum,mean,median,std,min,max,sum,mean,median,std,min,max,sum,mean,median,std,min,max,sum,mean,median,std,min,max,sum,mean,median,std,min,max,sum,mean,median,std,min,max,sum,mean,median,std,min,max,sum,mean,median,std,min,max,sum,mean,median,std,min,max,sum,mean,median,std,min,max,sum,mean,median,std,min,max,sum,mean,median,std,min,max,sum,mean,median,std,min,max,sum,mean,median,std,min,max,sum,mean,median,std,min,max
year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1832.519250037693,13.474406250277154,15.192435063985727,5.662124953342538,0.0,21.840783239922597,1277.6445847662637,9.394445476222527,12.349443684035629,6.796196692540862,0.0,19.81424330854978,898.2731513310873,6.6049496421403475,0.0,7.453186476238283,0.0,19.855117049445006,1229.0465180499675,9.037106750367409,13.107538914538537,8.000512879205713,0.0,21.046327466733967,824.8962215109808,6.0654133934630945,0.0,6.816256636502949,0.0,17.75599710560902,2179.0256037656486,16.022247086512124,16.476307998905355,2.550827162243438,9.121288478183804,22.3867495192637,3377.8283712442035,24.836973317972085,24.722172722592077,2.1558789261717086,20.007682515168096,30.26254354778621,1226.5502362341244,9.01875173701562,9.102231826256087,1.3125246259435919,6.286294680337332,11.66810286029907,0.0,0.0,0.0,0.0,0.0,0.0,2554.8538934445087,18.785690392974328,18.505637837188825,11.904499168896685,0.21059668616433733,51.52791776927047,630.4907017859633,4.6359610425438476,2.4503624385017,8.122518961446243,-0.224103246005552,63.2925073455888,0.0,0.0,0.0,0.0,0.0,0.0,40,0.29411764705882354,0.0,0.4573295603800236,0,1,28,0.20588235294117646,0.0,0.4058397249567139,0,1,18,0.1323529411764706,0.0,0.3401268506157723,0,1,6,0.04411764705882353,0.0,0.2061156474669474,0,1,30,0.22058823529411764,0.0,0.41617618189786526,0,1,14,0.10294117647058823,0.0,0.3050054465744623,0,1
2019,1485.1574050805468,11.786963532385291,13.404079271556261,6.288548998851776,0.0,19.791650008822693,874.485041717889,6.9403574739515,8.52817684958893,6.834687441624418,0.0,17.91357605034817,652.8274493430085,5.18117023288102,0.0,6.651272244805744,0.0,19.784298533966826,904.6645439840638,7.179877333206855,9.280911876765643,7.305476790517763,0.0,19.215060045463265,510.88719780076025,4.0546603000060335,0.0,6.141187980276814,0.0,17.99033286956939,1880.2061050869327,14.922270675293117,14.526815846692706,2.6216943152649876,8.441675580033973,20.844717745206815,3041.7435924529696,24.140822162325154,23.876172613625393,2.4264901125525826,17.806773460893158,29.26378365261355,1123.966119388763,8.920366026894945,8.83021668857347,1.3326148826636803,6.227735384886763,11.662664996730507,0.0,0.0,0.0,0.0,0.0,0.0,2565.7916950857725,20.363426151474386,16.211256763798897,15.884053134350848,0.9331853658328569,77.77240570230009,289.6761635335722,2.299017170901367,2.20607305781525,2.5374234305499543,-3.2333893398333,14.8049990906021,0.0,0.0,0.0,0.0,0.0,0.0,20,0.15873015873015872,0.0,0.36688305303348995,0,1,30,0.23809523809523808,0.0,0.4276179870598791,0,1,20,0.15873015873015872,0.0,0.36688305303348995,0,1,12,0.09523809523809523,0.0,0.2947153590452029,0,1,32,0.25396825396825395,0.0,0.4370173074194282,0,1,12,0.09523809523809523,0.0,0.29471535904520285,0,1
2020,1596.4295206434294,12.570311186168736,14.167652893335282,6.180274364440081,0.0,22.004854378829663,1067.6380014641245,8.406598436725389,12.021531894144415,6.881418826809764,0.0,19.83239439234135,797.4345562876955,6.279012254233823,0.0,7.109214691819319,0.0,19.98848574382353,1029.9200149859591,8.109606417212277,11.40978714507213,7.677452024340313,0.0,21.359998506826532,705.2514934649853,5.553161365866026,0.0,6.748643824353609,0.0,18.08422655953021,1972.5062617908127,15.531545368431596,15.447482378857796,2.5849319932460757,9.589440559966883,22.580438401497084,3105.225828455463,24.450597074452467,24.47257734082331,2.348851127798275,17.761869177603177,30.31803453154503,1130.3879689849089,8.90069266917251,8.842705575057662,1.3270195206175683,6.123768132731687,11.587957669644279,10.696,0.08422047244094488,0.0,0.6270061632742552,0.0,6.6770000000000005,2744.9381138717577,21.61368593599809,19.687599556812714,16.763362681873943,0.13882461823229986,81.66697764911248,546.2237320104566,4.300974267798871,1.93694126694223,16.396847319111295,-2.5952432588738,163.257782355458,0.142865231332,0.0011249230813543307,0.000104239,0.009298757088655279,0.0,0.105,27,0.2125984251968504,0.0,0.41076624604072476,0,1,29,0.2283464566929134,0.0,0.4214294717387997,0,1,20,0.15748031496062992,0.0,0.3656956156964185,0,1,7,0.05511811023622047,0.0,0.2291144655411569,0,1,30,0.23622047244094488,0.0,0.42644140097607985,0,1,14,0.11023622047244094,0.0,0.31442430276575123,0,1
2021,1626.7121511798423,12.910413898252717,14.303519302194896,5.789960671945981,0.0,22.369587758666736,1090.2834779348252,8.653043475673217,11.596951049813768,6.749553652414698,0.0,19.889382952457275,750.6576270996229,5.957600215076372,0.0,7.195311088273835,0.0,20.16078819277242,943.2637309194666,7.486220086662434,0.0,7.800593578539508,0.0,21.68775757820611,688.9122254779841,5.467557345063366,0.0,6.793970822481431,0.0,18.130973881182165,1954.6904255734532,15.513416075979787,15.181323220358827,2.6731996322714484,8.92834768423811,22.9034970476943,3097.575870523884,24.583935480348288,24.563867589783143,2.3658552313141232,17.913123202746412,30.51136832376963,1136.4421356320272,9.019382028825612,8.996224074493856,1.3451409281105235,6.221289887846249,11.803441974876037,6194.079000000003,49.15935714285717,50.42000000000003,27.556142613497816,0.0,100.0,2861.872369906295,22.713272777034085,21.273268673058634,16.730879994083065,0.059084396798764,82.74310568843123,1085.2125755591678,8.612798218723555,3.4344535703516152,35.37774131324201,-0.60631938514085,359.093040778999,0.13143863319000001,0.0010431637554761907,0.000765184,0.0010857589479288257,0.0,0.004546261,27,0.21428571428571427,0.0,0.4119639373953572,0,1,29,0.23015873015873015,0.0,0.4226146881062874,0,1,20,0.15873015873015872,0.0,0.36688305303349006,0,1,7,0.05555555555555555,0.0,0.22997584414213784,0,1,29,0.23015873015873015,0.0,0.42261468810628744,0,1,14,0.1111111111111111,0.0,0.31552425509864623,0,1
2022,1602.152915384585,12.615377286492794,14.432885797588142,6.301380573570203,0.0,22.163633990951038,1056.7143099201162,8.32058511748123,11.512079707418119,6.87367411573549,0.0,19.923515671997272,707.5856426253557,5.571540493113037,0.0,7.102649077290613,0.0,20.132722312836687,1018.2912339100164,8.018041211889892,11.70680406446463,7.804860037493393,0.0,21.5970563261264,664.0266705956744,5.228556461383263,0.0,6.570490085406905,0.0,17.92422976308343,1978.5605244525807,15.579216727973076,15.519068658443276,2.7244658866905893,8.770671632087977,22.75751680133592,3129.668124894776,24.64305610153367,24.607987156646256,2.345967190125521,17.894165717456964,30.5148036227023,1152.6454705693423,9.075948587160175,9.112230984778792,1.3484422513036711,6.164988618939564,11.73611718964797,7340.503000000002,57.79923622047246,61.19399999999993,25.411353241783075,0.0,100.0,2777.9354159157397,21.873507211934957,21.39413188874387,15.722247600206588,0.3904669874996153,81.165679756042,1538.0108715450456,12.110321823189334,7.98518671835033,21.075035659116537,1.35077863583527,171.205491336641,1.1955483401,0.009413766457480315,0.001,0.09039955102167689,0.0,1.02,27,0.2125984251968504,0.0,0.41076624604072476,0,1,30,0.23622047244094488,0.0,0.42644140097607985,0,1,20,0.15748031496062992,0.0,0.3656956156964185,0,1,6,0.047244094488188976,0.0,0.21300077190915476,0,1,30,0.23622047244094488,0.0,0.42644140097607985,0,1,14,0.11023622047244094,0.0,0.31442430276575123,0,1
2023,1590.5447432637743,12.82697373599818,14.694979610355771,6.146160111520717,0.0,22.04898240327937,1050.3230395028015,8.470347092764529,11.765811574864502,6.932924094093839,0.0,19.856684020167915,752.779726292013,6.070804244290428,0.0,7.102594683426354,0.0,20.100075615984156,1048.3897958140708,8.45475641785541,12.465580717815499,7.655351856345437,0.0,21.3652054866989,630.4846378911305,5.084553531380085,0.0,6.690495900970148,0.0,17.72194500983662,1936.6685177769994,15.618294498201609,15.380892108684451,2.6231646938055375,7.975441240772982,22.617573766077836,3071.6016670434046,24.770981185833907,24.92037990843564,2.356717348102378,17.9471559078915,30.50992638340259,1137.4460588989637,9.172952087894869,9.246784273796072,1.2889937564513547,6.071601498794396,11.651576416507352,7401.029000000001,59.6857177419355,64.46800000000003,24.704484210496595,0.0,100.0,2448.943507117063,19.74954441223438,20.802225386199247,10.820409760251154,1.1493504983094944,74.2679663581781,1060.5025597820345,8.552439998242214,5.80113321465538,20.225010044404513,0.0746206782192256,221.341644023365,0.3564775967,0.0028748193282258066,0.0010680465,0.013213459390858374,1.19e-05,0.145,29,0.23387096774193547,0.0,0.4250082919849521,0,1,26,0.20967741935483872,0.0,0.40872981014033116,0,1,19,0.1532258064516129,0.0,0.36166630711554587,0,1,7,0.056451612903225805,0.0,0.23172802093927763,0,1,30,0.24193548387096775,0.0,0.4299927725226497,0,1,13,0.10483870967741936,0.0,0.30758826843626913,0,1
